iter	Passed	Remaining
177	426	1971
178	429	1967
179	431	1964
180	433	1961
181	435	1958
182	437	1954
183	439	1951
184	442	1948
185	444	1944
186	446	1941
187	448	1937
188	450	1934
189	452	1930
190	454	1927
191	457	1924
192	459	1921
193	461	1918
194	463	1914
195	465	1910
196	467	1907
197	470	1903
198	472	1900
199	474	1897
200	476	1893
201	478	1890
202	480	1887
203	482	1884
204	485	1881
205	487	1879
206	489	1876
207	491	1872
208	493	1869
209	496	1866
210	498	1863
211	500	1861
212	503	1859
213	505	1858
214	508	1856
215	510	1854
216	513	1853
217	516	1852
218	518	1850
219	521	1847
220	523	1844
221	525	1842
222	528	1842
223	531	1840
224	533	1837
225	535	1834
226	538	1832
227	540	1828
228	542	1826
229	544	1823
230	546	1820
231	548	1816
232	550	1813
233	553	1810
234	555	1806
235	557	1803
236	559	1800
237	561	1797
238	563	1794
239	565	1791
240	568	1789
241	570	1788
242	572	1784
243	575	1781
244	577	1778
245	579	1775
246	581	1772
247	583	1769
248	585	1766
249	587	1763
250	589	1760
251	591	1756
252	593	1753
253	595	1750
254	598	1747
255	600	1744
256	602	1741
257	604	1738
258	606	1735
259	608	1732
260	610	1728
261	612	1726
262	614	1722
263	616	1719
264	618	1716
265	620	1713
266	623	1710
267	625	1707
268	627	1704
269	629	1701
270	631	1698
271	633	1695
272	635	1693
273	637	1690
274	639	1687
275	642	1684
276	644	1681
277	646	1678
278	648	1675
279	650	1673
280	652	1670
281	654	1667
282	656	1664
283	659	1661
284	661	1658
285	663	1655
286	665	1652
287	667	1650
288	669	1647
289	671	1644
290	673	1641
291	675	1638
292	678	1636
293	680	1633
294	682	1630
295	684	1628
296	686	1625
297	688	1622
298	691	1620
299	693	1617
300	695	1615
301	697	1612
302	699	1610
303	702	1607
304	704	1605
305	707	1604
306	710	1602
307	712	1600
308	715	1599
309	717	1596
310	719	1594
311	721	1591
312	723	1588
313	726	1586
314	728	1583
315	730	1581
316	732	1578
317	734	1575
318	736	1572
319	738	1569
320	740	1567
321	742	1564
322	745	1562
323	747	1559
324	749	1556
325	751	1553
326	754	1552
327	756	1549
328	758	1547
329	760	1544
330	762	1541
331	765	1539
332	767	1536
333	769	1533
334	771	1531
335	773	1528
336	775	1525
337	777	1523
338	779	1520
339	781	1517
340	784	1517
341	788	1516
342	790	1514
343	793	1512
344	795	1510
345	797	1507
346	799	1504
347	801	1501
348	803	1499
349	805	1496
350	807	1493
351	810	1491
352	812	1488
353	814	1486
354	816	1483
355	818	1480
356	820	1478
357	822	1475
358	824	1473
359	827	1470
360	829	1468
361	831	1465
362	833	1463
363	835	1460
364	838	1457
365	840	1455
366	842	1452
367	844	1450
368	846	1447
369	848	1445
370	850	1442
371	852	1439
372	854	1437
373	857	1434
374	859	1431
375	861	1429
376	863	1426
377	865	1424
378	868	1422
379	870	1419
380	872	1417
381	874	1414
382	876	1412
383	878	1409
384	880	1407
385	882	1404
386	885	1401
387	887	1399
388	889	1396
389	891	1394
390	893	1391
391	895	1389
392	897	1386
393	899	1384
394	902	1382
395	905	1381
396	908	1379
397	910	1377
398	913	1375
399	915	1373
400	917	1371
401	920	1369
402	922	1366
403	924	1364
404	927	1362
405	929	1360
406	931	1357
407	934	1355
408	936	1353
409	938	1350
410	940	1348
411	943	1346
412	945	1344
413	948	1342
414	950	1340
415	953	1338
416	955	1336
417	958	1334
418	960	1332
419	963	1329
420	965	1327
421	967	1325
422	970	1323
423	972	1321
424	975	1319
425	977	1317
426	979	1314
427	981	1312
428	983	1309
429	986	1307
430	988	1304
431	990	1302
432	992	1299
433	994	1297
434	996	1294
435	998	1292
436	1000	1289
437	1003	1287
438	1005	1284
439	1007	1282
440	1009	1279
441	1011	1277
442	1013	1274
443	1016	1272
444	1018	1269
445	1020	1267
446	1022	1264
447	1024	1262
448	1026	1260
449	1029	1257
450	1031	1255
451	1033	1252
452	1035	1250
453	1037	1247
454	1039	1245
455	1041	1242
456	1044	1240
457	1046	1238
458	1048	1235
459	1050	1233
460	1052	1230
461	1054	1228
462	1056	1225
463	1059	1223
464	1061	1220
465	1063	1218
466	1065	1216
467	1067	1213
468	1069	1211
469	1072	1208
470	1074	1206
471	1076	1204
472	1078	1201
473	1080	1199
474	1082	1196
475	1084	1194
476	1086	1191
477	1088	1189
478	1091	1186
479	1093	1184
480	1095	1181
481	1097	1179
482	1099	1177
483	1101	1174
484	1104	1173
485	1107	1171
486	1109	1169
487	1112	1167
488	1115	1165
489	1117	1162
490	1119	1160
491	1121	1158
492	1123	1155
493	1126	1153
494	1128	1151
495	1130	1148
496	1132	1146
497	1134	1143
498	1137	1141
499	1139	1139
500	1141	1136
501	1143	1134
502	1146	1132
503	1148	1130
504	1150	1127
505	1152	1125
506	1155	1123
507	1157	1120
508	1159	1118
509	1161	1115
510	1163	1113
511	1165	1111
512	1168	1108
513	1170	1106
514	1172	1104
515	1174	1101
516	1176	1099
517	1179	1097
518	1181	1095
519	1184	1093
520	1187	1091
521	1189	1089
522	1191	1086
523	1193	1084
524	1196	1082
525	1198	1079
526	1200	1077
527	1202	1075
528	1204	1072
529	1207	1070
530	1209	1068
531	1211	1065
532	1213	1063
533	1215	1061
534	1217	1058
535	1220	1056
536	1222	1053
537	1224	1051
538	1226	1049
539	1228	1046
540	1230	1044
541	1233	1042
542	1235	1039
543	1238	1037
544	1240	1035
545	1243	1033
546	1245	1031
547	1247	1028
548	1249	1026
549	1251	1024
550	1253	1021
551	1256	1019
552	1258	1017
553	1260	1014
554	1262	1012
555	1264	1010
556	1267	1007
557	1269	1005
558	1271	1002
559	1273	1000
560	1275	998
561	1277	995
562	1280	993
563	1282	991
564	1284	988
565	1286	986
566	1288	984
567	1291	981
568	1293	979
569	1295	977
570	1297	974
571	1299	972
572	1301	970
573	1304	968
574	1307	966
575	1310	964
576	1313	962
577	1317	961
578	1319	959
579	1322	957
580	1324	955
581	1326	953
582	1329	950
583	1331	948
584	1333	945
585	1335	943
586	1337	941
587	1339	938
588	1342	936
589	1344	934
590	1346	931
591	1348	929
592	1350	927
593	1352	924
594	1355	922
595	1357	920
596	1359	917
597	1361	915
598	1363	913
599	1366	910
600	1368	908
601	1370	906
602	1372	903
603	1375	901
604	1377	899
605	1379	897
606	1381	894
607	1384	892
608	1386	890
609	1389	888
610	1391	886
611	1394	884
612	1396	881
613	1398	879
614	1401	877
615	1403	874
616	1405	872
617	1407	870
618	1409	867
619	1412	865
620	1414	863
621	1416	860
622	1418	858
623	1421	856
624	1423	853
625	1425	851
626	1427	849
627	1430	847
628	1432	844
629	1434	842
630	1436	840
631	1438	837
632	1441	835
633	1443	833
634	1445	831
635	1448	828
636	1450	826
637	1452	824
638	1454	821
639	1456	819
640	1458	817
641	1461	815
642	1463	812
643	1466	810
644	1468	808
645	1470	805
646	1472	803
647	1475	801
648	1477	798
649	1479	796
650	1481	794
651	1483	791
652	1485	789
653	1488	787
654	1490	784
655	1492	782
656	1494	780
657	1497	778
658	1499	775
659	1501	773
660	1503	771
661	1506	769
662	1508	766
663	1511	764
664	1513	762
665	1516	760
666	1518	758
667	1521	755
668	1523	753
669	1525	751
670	1527	749
671	1529	746
672	1532	744
673	1534	742
674	1536	739
675	1538	737
676	1540	735
677	1542	732
678	1544	730
679	1547	728
680	1549	725
681	1551	723
682	1553	721
683	1555	718
684	1558	716
685	1560	714
686	1562	711
687	1564	709
688	1566	707
689	1569	705
690	1572	703
691	1574	700
692	1577	698
693	1579	696
694	1581	694
695	1583	691
696	1585	689
697	1587	687
698	1589	684
699	1592	682
700	1594	680
701	1596	677
702	1598	675
703	1600	673
704	1602	670
705	1605	668
706	1607	666
707	1609	663
708	1611	661
709	1613	659
710	1615	656
711	1617	654
712	1620	652
713	1622	649
714	1624	647
715	1626	645
716	1628	642
717	1630	640
718	1633	638
719	1635	635
720	1637	633
721	1639	631
722	1641	628
723	1643	626
724	1646	624
725	1648	622
726	1650	619
727	1652	617
728	1654	615
729	1656	612
730	1658	610
731	1661	608
732	1663	605
733	1665	603
734	1667	601
735	1669	598
736	1671	596
737	1673	594
738	1676	592
739	1678	589
740	1680	587
741	1682	585
742	1684	582
743	1686	580
744	1689	578
745	1691	575
746	1693	573
747	1695	571
748	1697	568
749	1699	566
750	1702	564
751	1704	562
752	1707	560
753	1710	557
754	1712	555
755	1715	553
756	1717	551
757	1719	549
758	1722	546
759	1724	544
760	1726	542
761	1728	539
762	1731	537
763	1733	535
764	1735	533
765	1737	530
766	1739	528
767	1741	526
768	1743	523
769	1746	521
770	1748	519
771	1750	516
772	1752	514
773	1754	512
774	1757	510
775	1759	507
776	1761	505
777	1764	503
778	1766	501
779	1768	498
780	1770	496
781	1772	494
782	1775	491
783	1777	489
784	1779	487
785	1781	485
786	1783	482
787	1786	480
788	1788	478
789	1790	475
790	1792	473
791	1794	471
792	1797	469
793	1799	466
794	1801	464
795	1804	462
796	1806	460
797	1808	457
798	1810	455
799	1812	453
800	1815	450
801	1817	448
802	1819	446
803	1821	444
804	1823	441
805	1825	439
806	1828	437
807	1830	434
808	1832	432
809	1834	430
810	1836	428
811	1839	425
812	1841	423
813	1843	421
814	1845	418
815	1847	416
816	1850	414
817	1852	412
818	1854	409
819	1856	407
820	1858	405
821	1860	402
822	1863	400
823	1865	398
824	1867	396
825	1869	393
826	1871	391
827	1874	389
828	1876	387
829	1878	384
830	1880	382
831	1882	380
832	1885	377
833	1887	375
834	1889	373
835	1891	371
836	1893	368
837	1895	366
838	1898	364
839	1900	361
840	1902	359
841	1904	357
842	1907	355
843	1909	353
844	1912	350
845	1914	348
846	1917	346
847	1919	344
848	1922	341
849	1924	339
850	1926	337
851	1928	335
852	1930	332
853	1933	330
854	1935	328
855	1937	325
856	1939	323
857	1941	321
858	1943	319
859	1945	316
860	1948	314
861	1950	312
862	1952	309
863	1954	307
864	1957	305
865	1960	303
866	1962	301
867	1964	298
868	1967	296
869	1969	294
870	1971	292
871	1973	289
872	1975	287
873	1978	285
874	1980	282
875	1982	280
876	1984	278
877	1986	276
878	1988	273
879	1991	271
880	1993	269
881	1995	266
882	1997	264
883	1999	262
884	2001	260
885	2004	257
886	2006	255
887	2008	253
888	2010	251
889	2012	248
890	2014	246
891	2017	244
892	2019	241
893	2021	239
894	2023	237
895	2025	235
896	2027	232
897	2030	230
898	2032	228
899	2034	226
900	2036	223
901	2039	221
902	2041	219
903	2043	216
904	2045	214
905	2047	212
906	2049	210
907	2052	207
908	2054	205
909	2056	203
910	2058	201
911	2060	198
912	2063	196
913	2065	194
914	2067	192
915	2069	189
916	2071	187
917	2074	185
918	2076	182
919	2078	180
920	2080	178
921	2082	176
922	2084	173
923	2086	171
924	2089	169
925	2091	167
926	2093	164
927	2095	162
928	2098	160
929	2100	158
930	2102	155
931	2104	153
932	2107	151
933	2110	149
934	2112	146
935	2114	144
936	2117	142
937	2120	140
938	2122	137
939	2124	135
940	2126	133
941	2129	131
942	2131	128
943	2133	126
944	2135	124
945	2138	122
946	2140	119
947	2142	117
948	2144	115
949	2147	113
950	2149	110
951	2151	108
952	2153	106
953	2155	103
954	2157	101
955	2160	99
956	2162	97
957	2164	94
958	2166	92
959	2169	90
960	2171	88
961	2173	85
962	2175	83
963	2177	81
964	2179	79
965	2182	76
966	2184	74
967	2186	72
968	2189	70
969	2191	67
970	2193	65
971	2195	63
972	2197	60
973	2200	58
974	2202	56
975	2204	54
976	2206	51
977	2208	49
978	2211	47
979	2213	45
980	2215	42
981	2218	40
982	2220	38
983	2222	36
984	2224	33
985	2226	31
986	2228	29
987	2231	27
988	2233	24
989	2235	22
990	2237	20
991	2239	18
992	2242	15
993	2244	13
994	2246	11
995	2248	9
996	2250	6
997	2253	4
998	2255	2
999	2257	0
